N.,DEPA,ODS,Nombre_EPS,ID.EPS,Localidad,ID.Localidad,Ubigeo.CCPP,CCPP,ID.Reservorio,Nombre_Reservorio,X..Este....UTM,Y..Norte....UTM,Zona...UTM,Altitud,Tipo.de.Reservorio,Estado.Operativo,Observación,Antigüedad..Años.,Volumen.Reservorio..m3.,Material,Cuenta.con.tapa,Cerco.Protección,Foto_panoramica,Foto_tapa,Foto_estado,Fecha.de.fotos,Foto.Propia.de.ODS.o.de.EPS,X,Y
30,UCAYALI,UCAYALI,EMAPACOP S.A.,3,PUCALLPA,PUCALLPA,250107,Manantay,0012,R8 Próceres,48592,70655,18,NA,Elevado,Opera Normal,NA,14,900,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R8%20Proceres.jpg,NA,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R8%20Proceres.jpg,45485,ODS,NA,NA
118,UCAYALI,UCAYALI,EMAPACOP S.A.,3,PUCALLPA,PUCALLPA,250101,Calleria,0020,R9 Andrés Razuri,50338,73540,18,NA,Semi-enterrado,Inoperativo,NA,18,900,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R9%20Andres%20Razuri.jpg,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R9%20Andres%20Razuri%20-%20Tapa.jpg,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R9%20Andres%20Razuri.jpg,45485,ODS,NA,NA
119,UCAYALI,UCAYALI,EMAPACOP S.A.,3,PUCALLPA,PUCALLPA,250101,Calleria,0021,R10 Cesar Vallejo,49207,74002,18,NA,Semi-enterrado,Opera Normal,NA,18,1300,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R10%20Cesar%20Vallejo.jpg,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R10%20Cesar%20Vallejo%20-%20Tapa.jpg,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R10%20Cesar%20Vallejo.jpg,45485,ODS,NA,NA
120,UCAYALI,UCAYALI,EMAPACOP S.A.,3,PUCALLPA,PUCALLPA,250101,Calleria,0022,R11 Las Colinas,49484,75046,18,NA,Semi-enterrado,Opera Normal,NA,18,1300,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R11%20Las%20Colinas.jpg,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R11%20Las%20Colinas%20-%20Tapa.jpg,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R11%20Las%20Colinas.jpg,45485,ODS,NA,NA
121,UCAYALI,UCAYALI,EMAPACOP S.A.,3,PUCALLPA,PUCALLPA,250107,Manantay,0030,R12 El Triunfo,50671,70899,18,NA,Elevado,Opera Normal,NA,9,900,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R12%20El%20Triunfo.jpg,NA,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R12%20El%20Triunfo.jpg,45485,ODS,NA,NA
122,UCAYALI,UCAYALI,EMAPACOP S.A.,3,PUCALLPA,PUCALLPA,250107,Manantay,0031,R13 Villa El Salvador,49815,70439,18,NA,Elevado,Opera Normal,NA,9,900,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R13%20Villa%20El%20Salvador.jpg,NA,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R13%20Villa%20El%20Salvador.jpg,45485,ODS,NA,NA
123,UCAYALI,UCAYALI,EMAPACOP S.A.,3,PUCALLPA,PUCALLPA,250101,Calleria,0033,R14 Padre Salas,50398,72189,18,NA,Semi-enterrado,Opera Normal,NA,11,900,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R14%20Padre%20Salas.jpg,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R14%20Padre%20Salas%20-%20Tapas.jpg,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R14%20Padre%20Salas.jpg,45485,ODS,NA,NA
124,UCAYALI,UCAYALI,EMAPACOP S.A.,3,PUCALLPA,PUCALLPA,250107,Manantay,002,R1 Sector 12,48284,69335,18,NA,Elevado,Opera Normal,NA,2,1200,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R1-PTAP.jpg,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R1-PTAP_Tapas.jpg,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R1-PTAP.jpg,45485,ODS,NA,NA
125,UCAYALI,UCAYALI,EMAPACOP S.A.,3,PUCALLPA,PUCALLPA,250107,Manantay,002,R2 Sector 12,488640,6850500,18,NA,Elevado,Opera Normal,NA,2,1200,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R2-PTAP.jpg,NA,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R2-PTAP.jpg,45485,ODS,NA,NA
28,UCAYALI,UCAYALI,EMAPACOP S.A.,3,PUCALLPA,PUCALLPA,250107,Manantay,002,R3 Sector 12,492630,6967200,18,NA,Elevado,Opera Normal,NA,2,1200,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R3-PTAP.jpg,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R3-PTAP_Tapa.jpg,https://sunassgobpe-my.sharepoint.com/:i:/r/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/24.-UCAYALI/EMAPACOP%20S.A/R3-PTAP.jpg,45485,ODS,NA,NA
29,CUSCO,CUSCO,EPS SEDACUSCO S.A.,NA,CUSCO,CUSCO,801060001,SANTIAGO,RC,RESERVORIO CORIPATA,177688.20,8502555.21,19L,3429,Semi-enterrado,Opera Normal,Ninguna,38,1800,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.CORIPATA%20-%20PANORAMICA%20.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.CORIPATA%20-%20TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.CORIPATA%20-%20ESTADO.jpeg,45482,ODS,-13.527621224787435,-71.97743768061984
128,CUSCO,CUSCO,EPS SEDACUSCO S.A.,NA,CUSCO,CUSCO,801010001,CUSCO,RSA,RESERVORIO SANTA ANA,176434.00,8504393.00,19L,3538,Apoyado,Opera Normal,Ninguna,48,6500,Acero,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.SANTA.ANA-PANORAMICA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.SANTA.ANA-TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.SANTA.ANA-ESTADO.jpeg,45482,ODS,-13.510887967518466,-71.98880552762706
31,CUSCO,CUSCO,EPS SEDACUSCO S.A.,NA,CUSCO,CUSCO,801060001,SANTIAGO,R13,RESERVORIO WIMPILLAY,180026.83,8501068.50,19L,3396,Apoyado,Opera Normal,Ninguna,18,1500,Acero,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.WIMPILLAY.R13-PANORAMICA%20.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.WIMPILLAY.R13-TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.WIMPILLAY.R13-ESTADO.jpeg,45482,ODS,-13.541302572385378,-71.95602021377641
32,CUSCO,CUSCO,EPS SEDACUSCO S.A.,NA,CUSCO,CUSCO,801050001,SAN SEBASTIAN,R14,RESERVORIO R14,184362.82,8500274.83,19L,3402,Apoyado,Opera Normal,Ninguna,4,585,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.R14-PANORAMICA%20.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.R14-TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.R14-ESTADO.jpeg,45482,ODS,-13.548940077968979,-71.91608721698056
131,CUSCO,CUSCO,EPS SEDACUSCO S.A.,NA,CUSCO,CUSCO,801010001,CUSCO,RP,RESERVORIO PUQUIN,176281.26,8502517.21,19L,3471,Apoyado,Opera Normal,Ninguna,38,455,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.PUQUIN-PANORAMICA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.PICCHU-TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.PUQUIN-ESTADO.jpeg,45483,ODS,-13.527809452850157,-71.99042644260516
132,CUSCO,CUSCO,EPS SEDACUSCO S.A.,NA,CUSCO,CUSCO,801010001,CUSCO,RPI,RESERVORIO PICCHU,176568.89,8503365.53,19L,3529,Semi-enterrado,Opera Normal,Ninguna,58,3000,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.PICCHU-PANORAMICA%20.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.PICCHU-TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.PICCHU-ESTADO.jpeg,45483,ODS,-13.520180864279439,-71.98767639317865
133,CUSCO,CUSCO,EPS SEDACUSCO S.A.,NA,CUSCO,CUSCO,801050001,SAN SEBASTIAN,RL,RESERVORIO LARAPA,187021.16,8502606.36,19L,3689,Apoyado,Opera Normal,Ninguna,18,4500,Acero,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.LARAPA-PANORAMICA%20.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.LARAPA-TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.LARAPA-ESTADO.jpeg,45483,ODS,-13.528169891309636,-71.89129528399516
134,CUSCO,CUSCO,EPS SEDACUSCO S.A.,NA,CUSCO,CUSCO,801010001,CUSCO,RA,RESERVORIO LOS ANDENES,180027.13,8503446.61,19L,3377,Apoyado,Opera Normal,Ninguna,48,1800,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.LOS.ANDENES-PANORAMICA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.LOS.ANDENES-TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.LOS.ANDENES-ESTADO.jpeg,45483,ODS,-13.519827705334011,-71.95575228741727
135,CUSCO,CUSCO,EPS SEDACUSCO S.A.,NA,CUSCO,CUSCO,801010001,CUSCO,RLT,RESERVORIO LOS TAMBILLOS,179534.46,8504776.63,19L,3624,Apoyado,Opera Normal,Ninguna,26,1000,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.LOS.TAMBILLOS-PANORAMICA%20.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.LOS.TAMBILLOS-TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/SEDACUSCO%20S.A/R.LOS.TAMBILLOS-ESTADO.jpeg,45483,EPS,-13.507763594681844,-71.96015071638774
136,CUSCO,CUSCO,EPS EMAQ S.R.L.,NA,QUILLABAMBA,QUILLABAMBA,809010001,SANTA ANA,RBA,RESERVORIO BARRIAL ALTA,749275.26,8575444.32,18L,1151,Apoyado,Opera Normal,Ninguna,11,1230,Concreto,Si,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EPS%20EMAQ%20S.R.L/R.BARRIAL.ALTO-PANORAMICA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EPS%20EMAQ%20S.R.L/R.BARRIAL.ALTO-TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EPS%20EMAQ%20S.R.L/R.BARRIAL.ALTO-ESTADO.jpeg,45200,EPS,-12.876168633468467,-66.7029817754153
137,CUSCO,CUSCO,EPS EMAQ S.R.L.,NA,QUILLABAMBA,QUILLABAMBA,809010044,MACAMANGO,RMAC,RESERVORIO MACAMANGO,748851.14,8577031.31,18L,1124,Apoyado,Opera Normal,Ninguna,3,775,Concreto,Si,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EPS%20EMAQ%20S.R.L/R.MACAMANGO-PANORAMICA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EPS%20EMAQ%20S.R.L/R.MACAMANGO-TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EPS%20EMAQ%20S.R.L/R.MACAMANGO-ESTADO.jpeg,45200,EPS,-12.86186357529734,-66.70701809070809
138,CUSCO,CUSCO,EPS EMAQ S.R.L.,NA,QUILLABAMBA,QUILLABAMBA,809010001,SANTA ANA,RSA,RESERVORIO SANTA ANA,749576.36,8576089.73,18L,1100,Semi-enterrado,Opera Normal,Ninguna,60,1000,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EPS%20EMAQ%20S.R.L/R.SANTA.ANA-PANORAMICA%20.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EPS%20EMAQ%20S.R.L/R.SANTA.ANA-TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EPS%20EMAQ%20S.R.L/R.SANTA.ANA-ESTADO.jpeg,45200,EPS,-12.870312712963813,-66.70026195844562
30,CUSCO,CUSCO,EPS EMPSSAPAL  S.A.,NA,SICUANI,SICUANI,806010001,SICUANI,RPB,RESERVORIO PICHASANI BAJO,260190.37,8420326.44,19L,3570,Apoyado,Opera Normal,Ninguna,78,1054,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMPSSAPAL%20%20S.A/R.PICHANASI.BAJO-PANORAMICA%20.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMPSSAPAL%20%20S.A/R.PICHANASI.BAJO-TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMPSSAPAL%20%20S.A/R.PICHANASI.BAJO-ESTADO.jpeg,45484,EPS,-14.278486074009159,-71.22285941446093
31,CUSCO,CUSCO,EPS EMPSSAPAL  S.A.,NA,SICUANI,SICUANI,806010001,SICUANI,RPA,RESERVORIO PICHASANI ALTO,260272.41,8420530.77,19L,3612,Apoyado,Opera Normal,Ninguna,7,450,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMPSSAPAL%20%20S.A/R.PICHANASI.ALTO-PANORAMICA%20.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMPSSAPAL%20%20S.A/R.PICHANASI.ALTO-TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMPSSAPAL%20%20S.A/R.PICHANASI.ALTO-ESTADO.jpeg,45484,EPS,-14.27664705764295,-71.2220812558959
141,CUSCO,CUSCO,EPS EMPSSAPAL  S.A.,NA,SICUANI,SICUANI,806010001,SICUANI,RPAB,RESERVORIO PUERTO ARTURO BAJO,260261.06,8419093.94 ,19L,3580,Apoyado,Opera Normal,Ninguna,49,924,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMPSSAPAL%20%20S.A/R.ARTURO.BAJO-PANORAMICA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMPSSAPAL%20%20S.A/R.ARTURO.BAJO-TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMPSSAPAL%20%20S.A/R.ARTURO.BAJO-ESTADO.jpeg,45484,EPS,-14.289627755063027,-71.2223138470285
33,CUSCO,CUSCO,EPS EMPSSAPAL  S.A.,NA,SICUANI,SICUANI,806010001,SICUANI,RPAA,RESERVORIO PUERTO ARTURO ALTO,260256.41,8419022.25,19L,3604,Apoyado,Opera Normal,Ninguna,7,300,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMPSSAPAL%20%20S.A/R.ARTURO.ALTO-PANORAMICA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMPSSAPAL%20%20S.A/R.ARTURO.ALTO-TAPA.jpeg,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMPSSAPAL%20%20S.A/R.ARTURO.ALTO-ESTADO.jpeg,45484,EPS,-14.290275067372646,-71.22236329032644
34,CUSCO,CUSCO,EPS EMSAPA CALCA S.A.,NA,CALCA,CALCA,804010001,CALCA,RM1,RESERVORIO MITMAC 1,181296,8527713,19L,3106,Apoyado,Opera Normal,Ninguna,12,600,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMSAPA%20CALCA%20S.A/R.MITMAC1-PANORAMICA.jpeg,NA,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMSAPA%20CALCA%20S.A/R.MITMAC1-ESTADO.jpeg,45483,EPS,-13.300829763824186,-71.94137323157634
144,CUSCO,CUSCO,EPS EMSAPA CALCA S.A.,NA,CALCA,CALCA,804010001,CALCA,RM2,RESERVORIO MITMAC 2,181296,8527713,19L,3106,Apoyado,Opera Normal,Ninguna,12,600,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMSAPA%20CALCA%20S.A/R.MITMAC2-PANORAMICA.jpeg,NA,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/7.-CUSCO/EMSAPA%20CALCA%20S.A/R.MITMAC2-ESTADO.jpeg,45483,EPS,NA,NA
