"","Prestador_Codigo","ubigeo_censo_17","Anio_informacion","nomprest","nomdep","nomprov","nomdist","NOM_CCPP","POBTOTAL","VIVTOTAL","densidad_pob","Latitud","Longitud","brinda_agua","brinda_alca","brinda_tar","brinda_excretas","cob_agua","cob_alca","Conex_tot_agua","Conex_tot_alca","tipo_fuente","licenciadeuso","tipo_prestador","es_formal","cobra_cuota","monto_cuota","conti_estiaje_horas","conti_avenida_horas","conti_estiaje_dias","conti_avenida_dias","tiene_sistema_cloracion","realiza_cloracion","cloro_residual_uv","tipo_agua","cloro_residual_reservorio","Ubic_APC_EPES","fuente","ambito","Prestador_Codigo_aux","ambito_prest","cuentaconlicenciavertimiento","numubs","EPS1","dentro_ambito","SECTOR","NOMEP","COD_EP","COD_LOC","COD_SECTOR","ID_LOCALID","distancia_minima","dentro_ambito_prest","info","NOMEP2","Prestador_Codigo_aux_2","ubigeo_censo_17_aux","POBTOTAL_aux"
"296","P-09384-N1X3B",1403050037,2024,"JASS Solecape Anexo Santamaria","LAMBAYEQUE","LAMBAYEQUE","MOCHUMI","SOLECAPE",609,150,3.41898922333705,-6.59340998,-79.93463999,"Si","No","No","No",42,0,63,0,"Subterránea","Todas","OC","No","Si",7,10,10,7,7,NA,NA,NA,"Bombeo sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09384-N1X3B","Rural",NA,NA,"EPSEL S.A.","No","Sector Mochumi","EPSEL S.A.","029","029017","029017SEC01","029017 - MOCHUMI",8.54335903503532,"NO","Ambos","EPSEL S.A.","P-09384-N1X3B",1403050037,609
"297","P-09323-Z2V7W",1403050038,2024,"OC-JASS EL CARRIZO","LAMBAYEQUE","LAMBAYEQUE","MOCHUMI","EL CARRIZO",214,52,3.41898922333705,-6.549385,-79.918765,"Si","No","No","No",100,0,55,0,"Subterránea","Todas","OC","No","Si",5,1.5,3,7,7,"No","No",NA,"Bombeo sin tratamiento",0,"Cercano","SUNASS","Rural","P-09323-Z2V7W","Rural",NA,NA,"EPSEL S.A.","No","Sector Mochumi","EPSEL S.A.","029","029017","029017SEC01","029017 - MOCHUMI",5.53558127221795,"NO","Ambos","EPSEL S.A.","P-09323-Z2V7W",1403050038,214
"298","P-09184-J8Z9M",1403060046,2024,"JASS Paredones","LAMBAYEQUE","LAMBAYEQUE","MORROPE","TINAJONES",447,80,4.08481613285884,-6.55933024,-79.94417533,"Si","No","No","No",51.25,0,41,0,"Subterránea","Todas","OC","Si","Si",8,3,3,7,7,"Si","Si",0.5,"Bombeo sin tratamiento",1.5,"Lejano","SUNASS","Rural","P-09184-J8Z9M","Rural",NA,NA,"EPSEL S.A.","No","Sector Mochumi","EPSEL S.A.","029","029017","029017SEC01","029017 - MOCHUMI",8.42310441605317,"NO","Ambos","EPSEL S.A.","P-09184-J8Z9M",1403060046,447
"299","P-09377-W8J7V",1403060052,2024,"JASS Cruz de Paredones","LAMBAYEQUE","LAMBAYEQUE","MORROPE","CRUZ DE PAREDONES (PAREDONES BAJO)",221,81,4.08481613285884,-6.62603316,-79.95817618,"No","No","No","No",98.77,0,80,0,"Subterránea","Todas","OC","Si","No",NA,0,0,0,0,"No","No",NA,"Bombeo sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09377-W8J7V","Rural",NA,NA,"EPSEL S.A.","No","Sector Lambayeque","EPSEL S.A.","029","029002","029002SEC01","029002 - LAMBAYEQUE",9.07301315871537,"NO","Ambos","EPSEL S.A.","P-09377-W8J7V",1403060052,221
"300","P-09064-N9Q2J",1401080032,2024,"JASS CUSUPE","LAMBAYEQUE","CHICLAYO","MONSEFU","CUSUPE",287,85,3.47927013603973,-6.85888715,-79.84404622,"Si","No","No","No",54.12,NA,46,NA,"Subterránea","Todas","OC","No","Si",14,14,14,7,7,"Si","Si",0,"Bombeo sin tratamiento",0.5,"Ambito de la EP","SUNASS","Rural","P-09064-N9Q2J","Rural",NA,NA,"EPSEL S.A.","No","Sector Reque","EPSEL S.A.","029","029012","029012SEC01","029012 - REQUE",2.04647571705891,"NO","Ambos","EPSEL S.A.","P-09064-N9Q2J",1401080032,287
"301","P-09209-T7Q4P",2001140137,2024,"Junta Administradora de Servicios de Saneamiento del Centro Poblado Los Chuicas, Callejones y San Martín de Malinguitas del Distrito de Tambo Grande","PIURA","PIURA","TAMBO GRANDE","SAN MARTIN DE MALINGUITAS",339,100,3.58579625058376,-5.03263333,-80.25264333,"Si","No","No","No",0,0,0,0,"Subterránea","Ninguna","OC","No","Si",0.5,2.5,2.5,7,7,"No","No",NA,"Bombeo sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09209-T7Q4P","Rural",NA,NA,"EPS GRAU S.A.","No","Sector 04","EPS GRAU S.A.","032","032004","032004SEC04","032004 - CHULUCANAS",10.7874746704276,"NO","Unico","EPS GRAU S.A.","P-09209-T7Q4P",2001140137,339
"302","P-09209-T7Q4P",2001140146,2024,"Junta Administradora de Servicios de Saneamiento del Centro Poblado Los Chuicas, Callejones y San Martín de Malinguitas del Distrito de Tambo Grande","PIURA","PIURA","TAMBO GRANDE","CALLEJONES",870,230,3.58579625058376,-5.02720833,-80.255815,"Si","No","No","No",0,0,0,0,"Subterránea","Ninguna","OC","No","Si",0.5,2.5,2.5,7,7,"No","No",NA,"Bombeo sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09209-T7Q4P","Rural",NA,NA,"EPS GRAU S.A.","No","Sector 04","EPS GRAU S.A.","032","032004","032004SEC04","032004 - CHULUCANAS",11.4291502991671,"NO","Unico","EPS GRAU S.A.","P-09209-T7Q4P",2001140146,870
"303","P-09209-T7Q4P",2001140147,2024,"Junta Administradora de Servicios de Saneamiento del Centro Poblado Los Chuicas, Callejones y San Martín de Malinguitas del Distrito de Tambo Grande","PIURA","PIURA","TAMBO GRANDE","LOS CHUICAS",479,117,3.58579625058376,-5.02887667,-80.27607333,"Si","No","No","No",0,0,0,0,"Subterránea","Ninguna","OC","No","Si",0.5,2.5,2.5,7,7,"No","No",NA,"Bombeo sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09209-T7Q4P","Rural",NA,NA,"EPS GRAU S.A.","No","Sector 04","EPS GRAU S.A.","032","032004","032004SEC04","032004 - CHULUCANAS",13.1883117517655,"NO","Ambos","EPS GRAU S.A.","P-09209-T7Q4P",2001140147,479
"304","P-09378-X6J6S",2002100022,2024,"Junta Administradora de Servicios de Saneamiento del Centro Poblado Rural Puente Internacional","PIURA","AYABACA","SUYO","PUENTE INTERNACIONAL",403,113,3.1543453724605,-4.39495297,-79.96974834,"Si","No","No","No",100,0,180,0,"Subterránea","Todas","OC","No","Si",14,1.5,1.5,3,3,"No","Si",NA,"Bombeo sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09378-X6J6S","Rural",NA,"176","EPS GRAU S.A.","No","Las Lomas","EPS GRAU S.A.","032","032009","032009SEC01","032009 - LAS LOMAS",39.9791669662638,"NO","Ambos","EPS GRAU S.A.","P-09378-X6J6S",2002100022,403
"305","P-09370-K7Q8W",2002100024,2024,"Junta Administradora de Servicios de Saneamiento del Centro Poblado Cachaquito","PIURA","AYABACA","SUYO","CACHAQUITO",600,217,3.1543453724605,-4.43445761,-79.97400965,"Si","No","No","No",87.56,0,190,0,"Mixta","Algunas","OC","No","Si",10,3,12,3,3,"Si","Si",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09370-K7Q8W","Rural",NA,NA,"EPS GRAU S.A.","No","Las Lomas","EPS GRAU S.A.","032","032009","032009SEC01","032009 - LAS LOMAS",36.6347594863718,"NO","Ambos","EPS GRAU S.A.","P-09370-K7Q8W",2002100024,600
"306","P-09365-D4P6N",2002100025,2024,"Junta Administradora de Servicios de Saneamiento del Centro Poblado Chirinos","PIURA","AYABACA","SUYO","CHIRINOS",996,351,3.1543453724605,-4.45200442,-79.94649431,"Si","Si","Si","No",100,19.94,480,70,"Superficial","Todas","OC","Si","Si",NA,6,6,7,7,"No","No",NA,"Gravedad con tratamiento",NA,"Lejano","SUNASS","Rural","P-09365-D4P6N","Rural","Ninguna",NA,"EPS GRAU S.A.","No","Las Lomas","EPS GRAU S.A.","032","032009","032009SEC01","032009 - LAS LOMAS",37.825371645139,"NO","Ambos","EPS GRAU S.A.","P-09365-D4P6N",2002100025,996
"307","P-09086-B0T4P",2001140090,2024,"Junta Administradora de Servicios de Saneamiento Ayar Cachi Ayar Auca","PIURA","PIURA","TAMBO GRANDE","AYAR CACHI",232,63,3.58579625058376,-4.87748165,-80.45240803,"No","No","No","No",100,0,86,0,"Superficial","Ninguna","OC","No","No",NA,NA,NA,NA,NA,"Si","No",NA,"Bombeo con tratamiento",NA,"Lejano","SUNASS","Rural","P-09086-B0T4P","Rural",NA,"86","EPS GRAU S.A.","No","Sector Querecotillo","EPS GRAU S.A.","032","032005","032005SEC02","032005 - QUERECOTILLO",21.2865413415379,"NO","Ambos","EPS GRAU S.A.","P-09086-B0T4P",2001140090,232
"308","P-09214-N2J9P",2001140091,2024,"Junta Administradora de los Servicios de Saneamiento del Centro Poblado Nuevo Yapato","PIURA","PIURA","TAMBO GRANDE","NUEVO YAPATO",584,148,3.58579625058376,-4.879173,-80.442742,"Si","No","No","No",0,0,0,0,"Subterránea","Ninguna","OC","No","Si",10,24,24,7,7,"No","No",NA,"Bombeo sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09214-N2J9P","Rural",NA,NA,"EPS GRAU S.A.","No","Sector Querecotillo","EPS GRAU S.A.","032","032005","032005SEC02","032005 - QUERECOTILLO",22.3730318682488,"NO","Ambos","EPS GRAU S.A.","P-09214-N2J9P",2001140091,584
"309","P-09086-B0T4P",2001140092,2024,"Junta Administradora de Servicios de Saneamiento Ayar Cachi Ayar Auca","PIURA","PIURA","TAMBO GRANDE","AYAR AUCA",455,114,3.58579625058376,-4.88122291,-80.45867315,"No","No","No","No",100,0,157,0,"Superficial","Ninguna","OC","No","No",NA,NA,NA,NA,NA,"Si","No",NA,"Bombeo con tratamiento",NA,"Lejano","SUNASS","Rural","P-09086-B0T4P","Rural",NA,"157","EPS GRAU S.A.","No","Sector Querecotillo","EPS GRAU S.A.","032","032005","032005SEC02","032005 - QUERECOTILLO",20.7038182248228,"NO","Ambos","EPS GRAU S.A.","P-09086-B0T4P",2001140092,455
"310","P-09288-H4K3J",2004070012,2024,"Junta Administradora de Servicios de Saneamiento Quemazón","PIURA","MORROPON","SAN JUAN DE BIGOTE","QUEMAZON",385,188,2.30987432675045,-5.31375626,-79.72170003,"Si","No","No","No",63.83,31.91,120,60,"Subterránea","Ninguna","OC","No","Si",10,9,9,7,7,"No","Si",NA,"Bombeo sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09288-H4K3J","Rural","Ninguna",NA,"EPS GRAU S.A.","No","Sector Reservorio","EPS GRAU S.A.","032","032012","032012SEC01","032012 - MORROPON",29.1116985817141,"NO","Ambos","EPS GRAU S.A.","P-09288-H4K3J",2004070012,385
"311","P-09291-Z3C0H",2004070013,2024,"Junta Administradora de servicios de Saneamiento Cardal","PIURA","MORROPON","SAN JUAN DE BIGOTE","CARDAL",181,86,2.30987432675045,-5.3174,-79.70632833,"Si","No","No","No",100,NA,116,NA,"Superficial","Ninguna","OC","No","Si",2,12,12,7,7,"Si","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09291-Z3C0H","Rural",NA,"116","EPS GRAU S.A.","No","Sector Reservorio","EPS GRAU S.A.","032","032012","032012SEC01","032012 - MORROPON",30.8012762980096,"NO","Ambos","EPS GRAU S.A.","P-09291-Z3C0H",2004070013,181
"312","P-09289-V8Y6X",2004070016,2024,"Junta Administradora de Servicios de Saneamiento Integral Miguel Pampa","PIURA","MORROPON","SAN JUAN DE BIGOTE","BADO DE GARZAS",85,36,2.30987432675045,-5.31208667,-79.75414833,"Si","No","No","No",97.22,NA,35,NA,"Superficial","Ninguna","OC","No","Si",2,24,24,7,7,"Si","No",NA,"Gravedad con tratamiento",NA,"Lejano","SUNASS","Rural","P-09289-V8Y6X","Rural",NA,"35","EPS GRAU S.A.","No","Sector Reservorio","EPS GRAU S.A.","032","032012","032012SEC01","032012 - MORROPON",25.9236427757699,"NO","Ambos","EPS GRAU S.A.","P-09289-V8Y6X",2004070016,85
"313","P-09290-W3W2X",2004070018,2024,"Junta Administradora de Servicios de Saneamiento Dotor","PIURA","MORROPON","SAN JUAN DE BIGOTE","DOTOR",188,68,2.30987432675045,-5.32613167,-79.71818833,"Si","No","No","No",100,0,124,0,"Subterránea","Ninguna","OC","No","Si",7,1.5,1.5,7,7,"Si","Si",NA,"Bombeo sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09290-W3W2X","Rural",NA,"84","EPS GRAU S.A.","No","Sector Reservorio","EPS GRAU S.A.","032","032012","032012SEC01","032012 - MORROPON",30.1337174951347,"NO","Ambos","EPS GRAU S.A.","P-09290-W3W2X",2004070018,188
"314","P-09289-V8Y6X",2004070019,2024,"Junta Administradora de Servicios de Saneamiento Integral Miguel Pampa","PIURA","MORROPON","SAN JUAN DE BIGOTE","MANZANARES",117,38,2.30987432675045,-5.31390833,-79.76062833,"Si","No","No","No",100,NA,70,NA,"Superficial","Ninguna","OC","No","Si",2,24,24,7,7,"Si","No",NA,"Gravedad con tratamiento",NA,"Lejano","SUNASS","Rural","P-09289-V8Y6X","Rural",NA,"60","EPS GRAU S.A.","No","Sector Reservorio","EPS GRAU S.A.","032","032012","032012SEC01","032012 - MORROPON",25.431962361325,"NO","Ambos","EPS GRAU S.A.","P-09289-V8Y6X",2004070019,117
"315","P-09289-V8Y6X",2004070021,2024,"Junta Administradora de Servicios de Saneamiento Integral Miguel Pampa","PIURA","MORROPON","SAN JUAN DE BIGOTE","CAMPO NUEVO",41,20,2.30987432675045,-5.34079167,-79.72375333,"Si","No","No","No",100,NA,20,NA,"Superficial","Ninguna","OC","No","Si",2,24,24,7,7,"Si","No",NA,"Gravedad con tratamiento",NA,"Lejano","SUNASS","Rural","P-09289-V8Y6X","Rural",NA,"20","EPS GRAU S.A.","No","Sector Reservorio","EPS GRAU S.A.","032","032012","032012SEC01","032012 - MORROPON",30.4875633581001,"NO","Ambos","EPS GRAU S.A.","P-09289-V8Y6X",2004070021,41
"316","P-09289-V8Y6X",2004070022,2024,"Junta Administradora de Servicios de Saneamiento Integral Miguel Pampa","PIURA","MORROPON","SAN JUAN DE BIGOTE","MIGUEL PAMPA",188,74,2.30987432675045,-5.32811833,-79.74204833,"Si","No","No","No",100,NA,90,NA,"Superficial","Ninguna","OC","No","Si",2,24,24,7,7,"Si","No",NA,"Gravedad con tratamiento",NA,"Lejano","SUNASS","Rural","P-09289-V8Y6X","Rural",NA,"90","EPS GRAU S.A.","No","Sector Reservorio","EPS GRAU S.A.","032","032012","032012SEC01","032012 - MORROPON",28.0203257974989,"NO","Ambos","EPS GRAU S.A.","P-09289-V8Y6X",2004070022,188
"317","P-09289-V8Y6X",2004070027,2024,"Junta Administradora de Servicios de Saneamiento Integral Miguel Pampa","PIURA","MORROPON","SAN JUAN DE BIGOTE","SAN JUAN BAUTISTA",116,33,2.30987432675045,-5.31851,-79.77389333,"Si","No","No","No",100,NA,50,NA,"Superficial","Ninguna","OC","No","Si",2,24,24,7,7,"Si","No",NA,"Gravedad con tratamiento",NA,"Lejano","SUNASS","Rural","P-09289-V8Y6X","Rural",NA,"45","EPS GRAU S.A.","No","Sector Reservorio","EPS GRAU S.A.","032","032012","032012SEC01","032012 - MORROPON",24.5231298916799,"NO","Ambos","EPS GRAU S.A.","P-09289-V8Y6X",2004070027,116
"318","P-09289-V8Y6X",2004070031,2024,"Junta Administradora de Servicios de Saneamiento Integral Miguel Pampa","PIURA","MORROPON","SAN JUAN DE BIGOTE","SAN RAFAEL",10,5,2.30987432675045,-5.35659,-79.70284833,"Si","No","No","No",100,NA,5,NA,"Superficial","Ninguna","OC","No","Si",2,24,24,7,7,"Si","No",NA,"Gravedad con tratamiento",NA,"Lejano","SUNASS","Rural","P-09289-V8Y6X","Rural",NA,"5","EPS GRAU S.A.","No","Sector Reservorio","EPS GRAU S.A.","032","032012","032012SEC01","032012 - MORROPON",33.3890949369278,"NO","Ambos","EPS GRAU S.A.","P-09289-V8Y6X",2004070031,10
"319","P-09047-G7G2T",2006010003,2024,"Junta Administradora de Servicios de Saneamiento del Caserío Chilaco Pelado","PIURA","SULLANA","SULLANA","CHILACO PELADO (CHILACO)",676,221,3.45588685483377,-4.69987387,-80.4963001,"Si","No","No","No",97.29,0,215,0,"Superficial","Todas","OC","Si","Si",NA,5,5,6,6,"Si","No",NA,"Bombeo con tratamiento",NA,"Lejano","SUNASS","Rural","P-09047-G7G2T","Rural",NA,"200","EPS GRAU S.A.","No","Sector Huaypira","EPS GRAU S.A.","032","032010","032010SEC01","032010 - LANCONES",7.12836844079475,"NO","Ambos","EPS GRAU S.A.","P-09047-G7G2T",2006010003,676
"320","P-09046-W7L3M",2006010017,2024,"Junta Administradora de Servicios de Saneamiento del Centro Poblado San Pedro y San Pablo - Somate Alto","PIURA","SULLANA","SULLANA","SAN PEDRO SAN PABLO (SOMATE ALTO)",344,133,3.45588685483377,-4.78874667,-80.43121333,"Si","No","No","No",100,0,209,0,"Subterránea","Todas","OC","No","Si",NA,24,24,7,7,"Si","Si",0.5,"Bombeo sin tratamiento",1,"Lejano","SUNASS","Rural","P-09046-W7L3M","Rural",NA,"185","EPS GRAU S.A.","No","Sector Huaypira","EPS GRAU S.A.","032","032010","032010SEC01","032010 - LANCONES",19.3623109882013,"NO","Ambos","EPS GRAU S.A.","P-09046-W7L3M",2006010017,344
"321","P-09071-K7F9W",407060011,2024,"ABASTECIMIENTO SIN PRESTADOR","AREQUIPA","ISLAY","PUNTA DE BOMBON","PINO BAJO",6,3,1.94633705155261,-17.15361167,-71.79660833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sin prestador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Periurbano","SUNASS","Rural","P-09071-K7F9W","Rural",NA,NA,"SEDAPAR S.A.","No","Sector 02","SEDAPAR S. A.","030","03026","03026SEC02","03026 - PUNTA DE BOMBON",0.96213119700521,"NO","Ambos","SEDAPAR S. A.","P-09071-K7F9W",407060011,6
"322","P-09204-G1K4W",405080043,2024,"MUNICIPALIDAD DISTRITAL DE HUANCA","AREQUIPA","CAYLLOMA","HUANCA","MURCO",47,69,1.24691358024691,-16.08347,-71.91150833,"Si","No","No","No",43.48,0,30,0,"Superficial","Ninguna","PM",NA,"No",NA,24,24,7,7,"Si","No",NA,"Gravedad con tratamiento",NA,"Lejano","SUNASS","Rural","P-09204-G1K4W","Rural",NA,"30","SEDAPAR S.A.","No","Sector 03","SEDAPAR S. A.","030","03032","03032SEC03","03032 - YURA",37.0342154187873,"NO","Ambos","SEDAPAR S. A.","P-09204-G1K4W",405080043,47
"323","P-09281-K1W8X",405110041,2024,"JUNTA ADMINISTRADORA DE AGUA Y SANEAMIENTO DE TAYA","AREQUIPA","CAYLLOMA","LLUTA","CUÑIRCA",14,18,0.978201634877384,-16.00477167,-71.91974333,"Si","Si","Si","No",44.44,0,8,0,"Superficial","Ninguna","OC","Si","Si",2.5,24,24,7,7,"Si","No",NA,"Gravedad con tratamiento",0,"Lejano","SUNASS","Rural","P-09281-K1W8X","Rural","Ninguna","8","SEDAPAR S.A.","No","Sector 03","SEDAPAR S. A.","030","03032","03032SEC03","03032 - YURA",43.7112911606093,"NO","Ambos","SEDAPAR S. A.","P-09281-K1W8X",405110041,14
"324","P-09281-K1W8X",405110043,2024,"JUNTA ADMINISTRADORA DE AGUA Y SANEAMIENTO DE TAYA","AREQUIPA","CAYLLOMA","LLUTA","HATUMPATA",64,54,0.978201634877384,-16.03255333,-71.93907667,"Si","Si","Si","No",46.3,0,25,0,"Superficial","Ninguna","OC","Si","Si",2.5,24,24,7,7,"Si","No",NA,"Gravedad con tratamiento",0,"Lejano","SUNASS","Rural","P-09281-K1W8X","Rural","Ninguna","25","SEDAPAR S.A.","No","Sector 04","SEDAPAR S. A.","030","03015","03015SEC04","03015 - EL PEDREGAL",40.9662869096251,"NO","Ambos","SEDAPAR S. A.","P-09281-K1W8X",405110043,64
"325","P-09281-K1W8X",405110047,2024,"JUNTA ADMINISTRADORA DE AGUA Y SANEAMIENTO DE TAYA","AREQUIPA","CAYLLOMA","LLUTA","TAYA",92,121,0.978201634877384,-16.01854086,-71.92958158,"Si","Si","Si","No",49.59,49.59,60,60,"Superficial","Ninguna","OC","Si","Si",2.5,24,24,7,7,"Si","No",NA,"Gravedad con tratamiento",0,"Lejano","SUNASS","Rural","P-09281-K1W8X","Rural","Ninguna",NA,"SEDAPAR S.A.","No","Sector 04","SEDAPAR S. A.","030","03015","03015SEC04","03015 - EL PEDREGAL",42.8184867270432,"NO","Ambos","SEDAPAR S. A.","P-09281-K1W8X",405110047,92
"326","P-09281-K1W8X",405110092,2024,"JUNTA ADMINISTRADORA DE AGUA Y SANEAMIENTO DE TAYA","AREQUIPA","CAYLLOMA","LLUTA","MOCCA TAYAMAYO RIO",15,18,0.978201634877384,-15.99146,-71.92063,"Si","Si","Si","No",66.67,0,12,0,"Superficial","Ninguna","OC","Si","Si",2.5,24,24,7,7,"Si","No",NA,"Gravedad con tratamiento",0,"Lejano","SUNASS","Rural","P-09281-K1W8X","Rural","Ninguna","12","SEDAPAR S.A.","No","Sector 03","SEDAPAR S. A.","030","03032","03032SEC03","03032 - YURA",44.8772478303688,"NO","Unico","SEDAPAR S. A.","P-09281-K1W8X",405110092,15
"327","P-09280-N4V0D",405150025,2024,"MUNICIPALIDAD DISTRITAL DE SIBAYO","AREQUIPA","CAYLLOMA","SIBAYO","ICHUHUAYCO (CONDORCUYO)",26,40,1.54147465437788,-15.312265,-71.61109167,"Si","Si","Si","No",75,75,30,30,"Subterránea","Ninguna","PM",NA,"No",NA,24,24,7,7,"Si","Si",0.4,"Gravedad sin tratamiento",0.4,"Lejano","SUNASS","Rural","P-09280-N4V0D","Rural","Ninguna",NA,"SEDAPAR S.A.","No","Sector 02","SEDAPAR S. A.","030","03010","03010SEC02","03010 - CHIVAY",35.2146921818186,"NO","Ambos","SEDAPAR S. A.","P-09280-N4V0D",405150025,26
"328","P-09331-C1N4T",401220003,2024,"EPS SEDAPAR - SISTEMA NO CONVENCIONAL (A TRAVÉS DE PILETAS PÚBLICAS)","AREQUIPA","AREQUIPA","SOCABAYA","EL PASTO",158,61,3.29792542016807,-16.46393182,-71.54220813,"Si","No","No","No",100,0,61,0,NA,NA,"Otro",NA,NA,NA,24,24,7,7,NA,NA,NA,"Otro",NA,"Ambito de la EP","SUNASS","Rural","P-09331-C1N4T","Rural",NA,"61","SEDAPAR S.A.","Si","Sector 06","SEDAPAR S. A.","030","03028","03028SEC06","03028 - SOCABAYA",0,"Si","Unico","SEDAPAR S. A.","P-09331-C1N4T",401220003,158
"329","P-09335-X3K2M",401220016,2024,"ABASTECIMIENTO SIN PRESTADOR","AREQUIPA","AREQUIPA","SOCABAYA","NUEVA FESIA-GRANJEROS LA RINCONADA",339,303,3.29792542016807,-16.47853743,-71.54357241,NA,NA,NA,NA,0,0,0,0,NA,NA,"Sin prestador",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,"Periurbano","SUNASS","Rural","P-09335-X3K2M","Rural",NA,"61","SEDAPAR S.A.","Si","Sector 06","SEDAPAR S. A.","030","03028","03028SEC06","03028 - SOCABAYA",0,"Si","Unico","SEDAPAR S. A.","P-09335-X3K2M",401220016,339
"330","P-09336-Q2W2K",401220031,2024,"ABASTECIMIENTO SIN PRESTADOR","AREQUIPA","AREQUIPA","SOCABAYA","TAHUANTINSUYO",116,285,3.29792542016807,-16.49327809,-71.52812845,NA,NA,NA,NA,0,0,0,0,NA,NA,"Sin prestador",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,"Periurbano","SUNASS","Rural","P-09336-Q2W2K","Rural",NA,"60","SEDAPAR S.A.","No","Sector 06","SEDAPAR S. A.","030","03028","03028SEC06","03028 - SOCABAYA",0.286594155810894,"NO","Unico","SEDAPAR S. A.","P-09336-Q2W2K",401220031,116
"331","P-09381-G3F3G",406080028,2024,"MUNICIPALIDAD DISTRITAL DE YANAQUIHUA","AREQUIPA","CONDESUYOS","YANAQUIHUA","ALPACAY",376,1,1.84760112888053,-15.78252177,-72.92429444,"Si","No","No","No",100,0,10,0,NA,NA,"PM",NA,"No",NA,24,24,7,7,NA,NA,NA,NA,NA,"Lejano","SUNASS","Rural","P-09381-G3F3G","Rural",NA,"10","SEDAPAR S.A.","No","Sector 01","SEDAPAR S. A.","030","03011","03011SEC01","03011 - CHUQUIBAMBA",29.0413092296077,"NO","Unico","SEDAPAR S. A.","P-09381-G3F3G",406080028,376
"332","P-09072-N9P0F",407020011,2024,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO AYANQUERA - DESAMPARADOS - PUERTO VIEJO","AREQUIPA","ISLAY","COCACHACRA","PUERTO VIEJO",12,16,1.87488769092543,-17.00667167,-71.65679167,"Si","No","No","No",50,0,8,0,"Subterránea","Todas","OC","No","Si",NA,24,24,7,7,"Si","No",NA,"Bombeo sin tratamiento",0.2,"Lejano","SUNASS","Rural","P-09072-N9P0F","Rural",NA,"8","SEDAPAR S.A.","No","Sector 01","SEDAPAR S. A.","030","03012","03012SEC01","03012 - COCACHACRA",13.808985570724,"NO","Ambos","SEDAPAR S. A.","P-09072-N9P0F",407020011,12
"333","P-09072-N9P0F",407020012,2024,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO AYANQUERA - DESAMPARADOS - PUERTO VIEJO","AREQUIPA","ISLAY","COCACHACRA","DESAMPARADOS",10,24,1.87488769092543,-17.01343667,-71.66465167,"Si","No","No","No",100,0,24,0,"Subterránea","Todas","OC","No","Si",NA,24,24,7,7,"Si","No",NA,"Bombeo sin tratamiento",0.2,"Lejano","SUNASS","Rural","P-09072-N9P0F","Rural",NA,"24","SEDAPAR S.A.","No","Sector 01","SEDAPAR S. A.","030","03012","03012SEC01","03012 - COCACHACRA",12.6852628163442,"NO","Ambos","SEDAPAR S. A.","P-09072-N9P0F",407020012,10
"334","P-09072-N9P0F",407020017,2024,"JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO AYANQUERA - DESAMPARADOS - PUERTO VIEJO","AREQUIPA","ISLAY","COCACHACRA","LA AYANQUERA",13,29,1.87488769092543,-17.01874333,-71.67317833,"Si","No","No","No",79.31,0,23,0,"Subterránea","Todas","OC","No","Si",NA,24,24,7,7,"Si","No",NA,"Bombeo sin tratamiento",0.2,"Lejano","SUNASS","Rural","P-09072-N9P0F","Rural",NA,"23","SEDAPAR S.A.","No","Sector 01","SEDAPAR S. A.","030","03012","03012SEC01","03012 - COCACHACRA",11.6118546621683,"NO","Ambos","SEDAPAR S. A.","P-09072-N9P0F",407020017,13
"335","P-08740-X0V7F",1601130034,2023,"JASS Nuevo Milagro","LORETO","MAYNAS","SAN JUAN BAUTISTA","NUEVO MILAGRO",163,46,3.46619906661936,-3.93826106,-73.37464131,"Si","No","No","Si",NA,NA,NA,NA,"Pluvial","Ninguna","OC","Si","No",NA,NA,NA,NA,NA,NA,NA,NA,"Agua de lluvia",NA,"Lejano","SUNASS","Rural","1601130034-1","Rural",NA,NA,"EPS SEDALORETO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Unico","EPS SEDALORETO S.A.","1601130034-1",1601130034,163
